time,Th1,Tfh,Tr1
1.55,134.0,326.0,178.0
1.6,130.0,321.0,187.0
1.65,128.0,314.0,191.0
1.7,125.0,302.0,188.0
1.75,121.0,293.0,183.0
1.8,121.0,290.0,183.0
1.85,117.0,274.0,182.0
1.9,115.0,269.0,169.0
1.95,112.0,264.0,166.0
2.0,106.0,257.0,163.0
2.05,105.0,252.0,164.0
2.1,101.0,245.0,162.0
2.15,98.0,241.0,154.0
2.2,100.0,232.0,147.0
2.25,93.0,225.0,140.0
2.3,92.0,214.0,138.0
2.35,95.0,211.0,132.0
2.4,94.0,211.0,129.0
2.45,90.0,208.0,123.0
2.5,88.0,206.0,116.0
2.55,87.0,198.0,111.0
2.6,87.0,191.0,109.0
2.65,87.0,192.0,103.0
2.7,87.0,187.0,93.0
2.75,85.0,176.0,91.0
2.8,81.0,175.0,90.0
2.85,78.0,172.0,90.0
2.9,74.0,170.0,83.0
2.95,68.0,160.0,80.0
3.0,64.0,152.0,76.0
3.05,64.0,150.0,76.0
3.1,64.0,142.0,71.0
3.15,60.0,133.0,71.0
3.2,61.0,132.0,67.0
3.25,58.0,125.0,70.0
3.3,50.0,123.0,64.0
3.35,51.0,115.0,64.0
3.4,46.0,109.0,59.0
3.45,47.0,105.0,58.0
3.5,47.0,103.0,58.0
3.55,45.0,102.0,57.0
3.6,46.0,96.0,55.0
3.65,44.0,92.0,50.0
3.7,40.0,88.0,49.0
3.75,39.0,86.0,48.0
3.8,39.0,81.0,46.0
3.85,38.0,75.0,43.0
3.9,35.0,76.0,42.0
3.95,35.0,74.0,42.0
4.0,36.0,69.0,41.0
4.05,33.0,67.0,40.0
4.1,31.0,64.0,38.0
4.15,32.0,61.0,37.0
4.2,30.0,58.0,37.0
4.25,30.0,54.0,38.0
4.3,29.0,49.0,37.0
4.35,27.0,47.0,36.0
4.4,28.0,47.0,35.0
4.45,28.0,45.0,34.0
4.5,28.0,42.0,32.0
4.55,26.0,41.0,29.0
4.6,25.0,40.0,28.0
4.65,24.0,35.0,25.0
4.7,24.0,34.0,25.0
4.75,23.0,34.0,25.0
4.8,22.0,32.0,26.0
4.85,21.0,32.0,25.0
4.9,21.0,33.0,22.0
4.95,21.0,32.0,23.0
5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.05,17.0,52.0,29.0
0.1,39.0,106.0,53.0
0.15,54.0,139.0,73.0
0.2,67.0,179.0,95.0
0.25,78.0,197.0,107.0
0.3,93.0,221.0,121.0
0.35,115.0,240.0,138.0
0.4,126.0,269.0,149.0
0.45,143.0,297.0,167.0
0.5,153.0,309.0,178.0
0.55,156.0,319.0,190.0
0.6,156.0,340.0,190.0
0.65,161.0,356.0,192.0
0.7,163.0,370.0,191.0
0.75,161.0,380.0,193.0
0.8,161.0,380.0,202.0
0.85,167.0,383.0,205.0
0.9,166.0,383.0,202.0
0.95,163.0,379.0,200.0
1.0,165.0,385.0,199.0
1.05,166.0,382.0,204.0
1.1,170.0,385.0,200.0
1.15,170.0,386.0,201.0
1.2,168.0,380.0,202.0
1.25,172.0,382.0,203.0
1.3,172.0,378.0,194.0
1.35,171.0,373.0,193.0
1.4,163.0,374.0,193.0
1.45,157.0,373.0,196.0
1.5,157.0,366.0,190.0
1.55,159.0,358.0,186.0
